방면명,date,직진,좌회전,우회전,합계,빨간날
연산터널→연산교차로,2023.10.13 07:00,296,367,34,697,0
교대→연산교차로,2023.10.13 08:00,309,0,467,776,0
부산시청→연산교차로,2023.10.13 08:00,601,445,368,1414,0
사직운동장→연산교차로,2023.10.13 08:00,186,675,90,951,0
신리→연산교차로,2023.10.13 08:00,483,349,22,854,0
안락→연산교차로,2023.10.13 08:00,624,0,103,727,0
연산터널→연산교차로,2023.10.13 08:00,302,380,19,701,0
교대→연산교차로,2023.10.13 09:00,304,0,509,813,0
부산시청→연산교차로,2023.10.13 09:00,559,383,304,1246,0
사직운동장→연산교차로,2023.10.13 09:00,191,600,73,864,0
신리→연산교차로,2023.10.13 09:00,535,314,37,886,0
안락→연산교차로,2023.10.13 09:00,588,0,103,691,0
연산터널→연산교차로,2023.10.13 09:00,297,369,35,701,0
